Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Sun Oct 14 19:04:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂💍 Why rings for fingers... are just called ""rings.""  
#LiveAtTheApollo https://t.co/3lbEQ2iLaS",1
-0.5848,Sun Oct 14 18:07:08 +0000 2018,0.678,0.322,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🥑😲 Bad news, millennials... avocados AREN'T vegan!  
#QI https://t.co/Ne4D8MGcYi",2
-0.5574,Sun Oct 14 17:07:06 +0000 2018,0.847,0.153,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","At least 449 homeless people have died in the UK during the last 12 months, an investigation has found.
👉… https://t.co/hPsvl8BHZD",3
-0.296,Sun Oct 14 15:59:03 +0000 2018,0.612,0.224,0.163,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Dan's cancer journey inspired MILLIONS.

❤️ His story will continue to live on.  https://t.co/ep3Z3RRYNp",4
0.0,Sun Oct 14 15:29:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😍 Princess Eugenie and Jack Brooksbank have released four official photographs from their wedding day.
👉… https://t.co/ECwXuGksLi",5
0.5848,Sun Oct 14 15:05:06 +0000 2018,0.78,0.0,0.22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","When the going gets tough... have a nap!
😴 Apparently even a quick kip can improve how we process emotional experie… https://t.co/xodiLv2RBE",6
0.0,Sun Oct 14 14:06:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎟🚀 Who would you take with you if you were given 10 tickets to the Moon?  https://t.co/VJ0ZJbEqU9,7
-0.4767,Sun Oct 14 12:58:03 +0000 2018,0.671,0.235,0.094,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Simple self defence moves if you find yourself in a bad situation. https://t.co/VD51hykqjo,8
0.5707,Sun Oct 14 12:15:47 +0000 2018,0.707,0.081,0.212,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @bbcdoctorwho: TODAY! 💙💙 The Ghost Monument - Still reeling from their first encounter, can the Doctor and her new friends stay alive lo…",9
0.4215,Sun Oct 14 12:09:50 +0000 2018,0.833,0.0,0.167,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCRadio4: He saved his father's life – twice. Eight incredible stories from @nilerodgers' #DesertIslandDiscs: https://t.co/jiJRAnolPH…,10
0.3818,Sun Oct 14 12:09:41 +0000 2018,0.843,0.0,0.157,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCScotland: Did you catch a glimpse of the stunning aurora borealis this week? 🌌💫 https://t.co/V3TXSjP5kj,11
0.6705,Sun Oct 14 11:16:05 +0000 2018,0.766,0.0,0.234,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎬 From Tom Hardy as a Marvel character to a new instalment of Halloween starring Jamie Lee Curtis, here are 10 movi… https://t.co/7Q6XX4JaRf",12
0.4404,Sun Oct 14 10:03:04 +0000 2018,0.674,0.0,0.326,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🤔 Is there a better way to count? https://t.co/mA0mpq4PlS,13
0.6369,Sun Oct 14 09:01:02 +0000 2018,0.819,0.0,0.181,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎶🖼 Artist @Katrina_McHugh has been turning some of music's best known lyrics into diagrams... and the results are q… https://t.co/vLFcUBhZK0,14
